Matching samples - Number of matching pairs found: 5,,,,
,,,,
Score' is the percentage of alleles matching,,,,
No. Alleles' is the number of alleles compared,,,,
No. matched' is the number of matching alleles,,,,
,,,,
Sample 1,Sample 2,Score,No. Alleles,No. Matched
SFLTB056,SFLTB069,100.00%,190,190
NoSNA062,NoSNA063,100.00%,188,188
MiCrA081,MiCrA082,100.00%,186,186
SaSiB070,SaSiB071,100.00%,184,184
SLBoA071,SLBoA072,100.00%,176,176
